date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:53:57	127/127	---MC-	200	added ('OK')	text/plain	date:Sun,%2011%20Dec%202022%2019:53:56%20GMT	https://template45.webekspor.com/robots.txt		(from )
02:53:58	195849/195849	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Dec%202022%2019:53:57%20GMT	https://template45.webekspor.com/	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/index.html	(from )
02:53:59	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2011%20Dec%202022%2019:53:57%20GMT	http://template45.webekspor.com/wp-content/uploads/2022/04/pexels-photo-7248417.png	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/2022/04/pexels-photo-7248417.0.delayed	(from https://template45.webekspor.com/)
02:53:59	328906/328906	---M--	200	added ('OK')	image/png	etag:%226267fc05-504ca%22	https://template45.webekspor.com/wp-content/uploads/2022/04/pexels-photo-7248417.png	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/2022/04/pexels-photo-7248417.png	(from https://template45.webekspor.com/)
02:53:59	26296/26296	---M--	200	added ('OK')	text/css	etag:%2261fe74b4-66b8%22	https://template45.webekspor.com/wp-content/plugins/chaty/css/chaty-front.min.css?ver=1644065988	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/chaty/css/chaty-front.min97ec.css	(from https://template45.webekspor.com/)
02:53:59	41469/41469	---M--	200	added ('OK')	text/css	etag:%22623b01d6-a1fd%22	https://template45.webekspor.com/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.7.9	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/themes/astra/assets/css/minified/main.minc480.css	(from https://template45.webekspor.com/)
02:54:04	49182/49182	---M--	200	added ('OK')	text/css	etag:%2262fb3748-c01e%22	https://template45.webekspor.com/wp-content/uploads/premium-addons-elementor/pa-frontend-0a9883734.min.css?ver=1670788436	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/premium-addons-elementor/pa-frontend-0a9883734.minfe1a.css	(from https://template45.webekspor.com/)
02:54:04	19642/19642	---MC-	200	added ('OK')	application/rss+xml	etag:%22681659c78877c08b6549602e0ddd60e1%22	https://template45.webekspor.com/feed/	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/feed/index.html	(from https://template45.webekspor.com/)
02:54:04	759/759	---MC-	200	added ('OK')	application/rss+xml	etag:%22681659c78877c08b6549602e0ddd60e1%22	https://template45.webekspor.com/comments/feed/	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/comments/feed/index.html	(from https://template45.webekspor.com/)
02:54:04	94889/94889	---M--	200	added ('OK')	text/css	etag:%2263741471-172a9%22	https://template45.webekspor.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://template45.webekspor.com/)
02:54:05	19050/19050	---M--	200	added ('OK')	text/css	etag:%22622b163c-4a6a%22	https://template45.webekspor.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.14.0	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine900.css	(from https://template45.webekspor.com/)
02:54:05	98820/98820	---M--	200	added ('OK')	text/css	etag:%22622b163c-18204%22	https://template45.webekspor.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.5.6	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/elementor/assets/css/frontend-lite.min10cb.css	(from https://template45.webekspor.com/)
02:54:05	942/942	---M--	200	added ('OK')	text/css	etag:%226266a585-3ae%22	https://template45.webekspor.com/wp-content/uploads/elementor/css/post-10.css?ver=1650894213	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/elementor/css/post-104c65.css	(from https://template45.webekspor.com/)
02:54:05	48648/48648	---M--	200	added ('OK')	text/css	etag:%226266a586-be08%22	https://template45.webekspor.com/wp-content/uploads/elementor/css/global.css?ver=1650894214	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/elementor/css/globald491.css	(from https://template45.webekspor.com/)
02:54:05	54075/54075	---M--	200	added ('OK')	text/css	etag:%2262fb3659-d33b%22	https://template45.webekspor.com/wp-content/uploads/elementor/css/post-23.css?ver=1660630617	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/elementor/css/post-231216.css	(from https://template45.webekspor.com/)
02:54:06	13014/13014	---M--	200	added ('OK')	text/css	etag:%22626b9684-32d6%22	https://template45.webekspor.com/wp-content/themes/astra-child/style.css?ver=1.0.0	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/themes/astra-child/style8a54.css	(from https://template45.webekspor.com/)
02:54:06	57912/57912	---M--	200	added ('OK')	text/css	etag:%22622b163c-e238%22	https://template45.webekspor.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://template45.webekspor.com/)
02:54:06	669/669	---M--	200	added ('OK')	text/css	etag:%22622b163c-29d%22	https://template45.webekspor.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://template45.webekspor.com/)
02:54:06	675/675	---M--	200	added ('OK')	text/css	etag:%22622b163c-2a3%22	https://template45.webekspor.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://template45.webekspor.com/)
02:54:07	22021/22021	---M--	200	added ('OK')	text/css	etag:%22622b1682-5605%22	https://template45.webekspor.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min.css?ver=4180a0be	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.mince54.css	(from https://template45.webekspor.com/)
02:54:07	89684/89684	---M--	200	added ('OK')	application/javascript	etag:%226361cb3f-15e54%22	https://template45.webekspor.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-includes/js/jquery/jquery.mina7a0.js	(from https://template45.webekspor.com/)
02:54:07	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%225fb4e3fe-2bd8%22	https://template45.webekspor.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://template45.webekspor.com/)
02:54:07	79448/79448	---M--	200	added ('OK')	application/javascript	etag:%2261fe74b4-13658%22	https://template45.webekspor.com/wp-content/plugins/chaty/js/cht-front-script.js?ver=1644065988	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/chaty/js/cht-front-script97ec.js	(from https://template45.webekspor.com/)
02:54:08	188631/188631	---MC-	200	added ('OK')	application/json	date:Sun,%2011%20Dec%202022%2019:54:07%20GMT	https://template45.webekspor.com/wp-json/	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-json/index.html	(from https://template45.webekspor.com/)
02:54:08	94914/94914	---MC-	200	added ('OK')	application/json	date:Sun,%2011%20Dec%202022%2019:54:07%20GMT	https://template45.webekspor.com/wp-json/wp/v2/pages/23	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-json/wp/v2/pages/23.json	(from https://template45.webekspor.com/)
02:54:09	858/858	---MC-	200	added ('OK')	text/xml	date:Sun,%2011%20Dec%202022%2019:54:08%20GMT	https://template45.webekspor.com/xmlrpc.php?rsd	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/xmlrpc0db0.php	(from https://template45.webekspor.com/)
02:54:09	1045/1045	---M--	200	added ('OK')	text/xml	etag:%2252a8c1b7-415%22	https://template45.webekspor.com/wp-includes/wlwmanifest.xml	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-includes/wlwmanifest.xml	(from https://template45.webekspor.com/)
02:54:09	2806/2806	---MC-	200	added ('OK')	application/json	date:Sun,%2011%20Dec%202022%2019:54:08%20GMT	https://template45.webekspor.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftemplate45.webekspor.com%2F	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-json/oembed/1.0/embed561e.json	(from https://template45.webekspor.com/)
02:54:10	2896/2896	---MC-	200	added ('OK')	text/xml	date:Sun,%2011%20Dec%202022%2019:54:09%20GMT	https://template45.webekspor.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ftemplate45.webekspor.com%2F&format=xml	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-json/oembed/1.0/embed8fab	(from https://template45.webekspor.com/)
02:54:10	2138/2138	---M--	200	added ('OK')	image/png	etag:%2261e22cbb-85a%22	https://template45.webekspor.com/wp-content/uploads/2022/01/Logo1.png	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/2022/01/Logo1.png	(from https://template45.webekspor.com/)
02:54:10	50290/50290	---M--	200	added ('OK')	image/png	etag:%2261e22cbb-c472%22	https://template45.webekspor.com/wp-content/uploads/2022/01/Logo2.png	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/uploads/2022/01/Logo2.png	(from https://template45.webekspor.com/)
02:54:10	41317/41317	---M--	200	added ('OK')	application/javascript	etag:%22622b1682-a165%22	https://template45.webekspor.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=4180a0be	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.mince54.js	(from https://template45.webekspor.com/)
02:54:11	115888/115888	---M--	200	added ('OK')	application/javascript	etag:%22622b1682-1c4b0%22	https://template45.webekspor.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min.js?ver=4180a0be	F:/Dev2023/Petak/https___template45.webekspor.com_/template45.webekspor.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.mince54.js	(from https://template45.webekspor.com/)
